ez 500,negative
fuck my ass,negative
wtf,negative
u srsly?,negative
why alyway hit me,negative
everyone kiting me,negative
u stand in front of me,negative
fuck yeah,negative
we are losing,negative
no one to slay,negative
our eshaker afk,negative	
4 v 4,negative
he afk,negative
it will be abandoned,negative
he lost hope,negative
HE WANT SLEEP,negative
ULTI ZEUS,negative
end,negative
no,negative
not my problem...i guess,negative
not my problem,negative
not my prob,negative
DIE,negative
do nothing,negative
DIE!!!!!! ?,negative
NO,negative
NÃ–,negative
NO WAY!!!!,negative
focus on me again pls :3,negative
fail snatch -.-,negative
ez,negative
Wtf he is doing,negative
he's russian he won't come back,negative
just report him,negative
gfg,negative
sad wr sad life,negative
ez mid for qop,negative
such a dick team,negative
blame me,negative
TEAM BLAMER,negative
BLAME JUG,negative
those miss.,negative
not today,negative
PERDAK GORIT,negative
HULE VI TAKIE GOMIKI,negative
GORIT PERDAK,negative
? ????? ?? ????? ?????? ?????? ??? ? ?? ???????,negative
ez game,negative
HUDSIE V MIRE,negative
??? ?? ??? ,negative
?? ??????? ???? ?????,negative
????,negative
?????,negative
???? ???? ,negative
???? ???,negative
??? ???,negative
???? ? ??????? ??????? ??????,negative
??? ????? ?????? ??,negative
? ?? ??????,negative
3 12,negative
??????? ?????,negative
????,negative
???,negative
??????? ?? ?????,negative
??? ???,negative
?????? ????????,negative
?? ?? ???? ????? ????????,negative
?? ? ???? ?? ??,negative
looser,negative
????? ????? ???,negative
???? ????,negative
??? ?? ??? ? ???????,negative
?????? ??? ????,negative
?? ?????? ???? ?????,negative
?????????,negative
???? ? ????? ???? ????????,negative
???? ?????? ???????,negative
?? ?????,negative
??? ????? ?? ???? ?? ?????,negative
?? ???????,negative
?? ????? ? ???????,negative
ez,negative
???? ???,negative
? ?? -24,negative
?,negative
REPORT PUDGE,negative
it was ez luck,negative
ez,negative
WE LOST,negative
rekt,negative
YOLO BITCHES,negative
*FUJCK,negative
FUCJKANS,negative
BOOBIE,negative
easiest,negative
of my life,negative
callate noob,negative
bye,negative
dam you're full of yoruself,negative
ez,negative
ez,negative
ez,negative
ez,negative
ez top,negative
ez,negative
fucking creep,negative
ok finish please,negative
gunna play rocket league,negative
we got fucking raped lol,negative
idiota good gank,negative
report bs,negative
starting fights we cant win,negative
still report bs,negative
gay,negative
report bs,negative
omg,negative
rng luckstar,negative
damn juks,negative
OMG,negative
nice tryhard,negative
mom die of cancer,negative
fat whore,negative
whore,negative
whore,negative
son of a slut,negative
ez,negative
ez,negative
report slark,negative
ebola silencer alchemist,negative
reported,negative
suck my dick,negative
retarded silencer,negative
can u stfu no one cares remotely about your or your opinion,negative
balanced aghs,negative
why so ez,negative
